followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,has_extended_profile,bot
1291,0,10,0,FALSE,78554,TRUE,FALSE,FALSE,1
1,349,0,38,FALSE,31,TRUE,FALSE,FALSE,1
1086,0,14,0,FALSE,713,TRUE,FALSE,FALSE,1
33,0,8,0,FALSE,676,TRUE,TRUE,FALSE,1
11,745,0,146,FALSE,185,FALSE,FALSE,FALSE,1
1,186,0,0,FALSE,11,TRUE,FALSE,TRUE,1
193,0,19,0,FALSE,6068,FALSE,FALSE,FALSE,1
8227,2,89,26,FALSE,2597,TRUE,FALSE,FALSE,1
275,0,17,23,FALSE,9922,FALSE,FALSE,FALSE,1
51,3,9,0,FALSE,2515,TRUE,FALSE,FALSE,1
51,1,12,0,FALSE,111,FALSE,FALSE,FALSE,1
2,1,4,0,FALSE,230,TRUE,TRUE,FALSE,1
0,29,0,0,FALSE,0,TRUE,TRUE,,1
1,206,0,0,FALSE,0,TRUE,TRUE,,1
0,38,0,0,FALSE,0,TRUE,TRUE,,1
109,0,16,0,FALSE,16067,TRUE,FALSE,FALSE,1
250,0,25,0,FALSE,31721,TRUE,FALSE,FALSE,1
15,1941,1,319,FALSE,406,FALSE,FALSE,FALSE,1
190,1899,0,27,FALSE,0,TRUE,TRUE,FALSE,1
181,0,24,0,FALSE,21506,TRUE,TRUE,FALSE,1
10175,11465,199,328,FALSE,65022,TRUE,FALSE,FALSE,1
23,4,8,4,FALSE,6230,FALSE,FALSE,FALSE,1
106126,0,999,2,FALSE,30156,TRUE,FALSE,FALSE,1
2302,3,161,4,FALSE,7640,FALSE,FALSE,FALSE,1
443,2,17,6,FALSE,9584,FALSE,FALSE,FALSE,1
27,1,10,0,FALSE,145,TRUE,FALSE,FALSE,1
191,2,19,0,FALSE,5684,FALSE,FALSE,FALSE,1
1,35,1,54,FALSE,82,TRUE,FALSE,FALSE,1
651,0,36,0,FALSE,19867,FALSE,FALSE,FALSE,1
37,45,7,0,FALSE,191,FALSE,FALSE,FALSE,1
331,56,36,23,FALSE,29989,TRUE,FALSE,FALSE,1
1327,2,92,0,FALSE,24199,TRUE,FALSE,FALSE,1
0,52,0,0,FALSE,0,TRUE,TRUE,,1
54,0,5,2,FALSE,1585,TRUE,FALSE,FALSE,1
4247,2,72,587,FALSE,109325,FALSE,FALSE,FALSE,1
0,54,0,7,FALSE,18,TRUE,TRUE,FALSE,1
163,2,74,64,FALSE,552492,TRUE,FALSE,FALSE,1
32,1,12,0,FALSE,6181,TRUE,FALSE,FALSE,1
