followers_count,friends_count,listed_count,favourites_count,statuses_count,has_extended_profile,bot
1291,0,10,0,78554,FALSE,1
1,349,0,38,31,FALSE,1
1086,0,14,0,713,FALSE,1
33,0,8,0,676,FALSE,1
11,745,0,146,185,FALSE,1
1,186,0,0,11,TRUE,1
193,0,19,0,6068,FALSE,1
8227,2,89,26,2597,FALSE,1
275,0,17,23,9922,FALSE,1
51,3,9,0,2515,FALSE,1
51,1,12,0,111,FALSE,1
2,1,4,0,230,FALSE,1
0,29,0,0,0,,1
1,206,0,0,0,,1
0,38,0,0,0,,1
109,0,16,0,16067,FALSE,1
250,0,25,0,31721,FALSE,1
15,1941,1,319,406,FALSE,1
190,1899,0,27,0,FALSE,1
181,0,24,0,21506,FALSE,1
10175,11465,199,328,65022,FALSE,1
23,4,8,4,6230,FALSE,1
106126,0,999,2,30156,FALSE,1
2302,3,161,4,7640,FALSE,1
443,2,17,6,9584,FALSE,1
27,1,10,0,145,FALSE,1
191,2,19,0,5684,FALSE,1
1,35,1,54,82,FALSE,1
651,0,36,0,19867,FALSE,1
37,45,7,0,191,FALSE,1
331,56,36,23,29989,FALSE,1
1327,2,92,0,24199,FALSE,1
0,52,0,0,0,,1
54,0,5,2,1585,FALSE,1
4247,2,72,587,109325,FALSE,1
0,54,0,7,18,FALSE,1
163,2,74,64,552492,FALSE,1
32,1,12,0,6181,FALSE,1
903,1,50,0,3654,FALSE,1
108,10,9,10,537,FALSE,1
190,1,23,1,4032,FALSE,1
675,118,66,8,15437,FALSE,1
1,340,0,33,49,FALSE,1
89,1225,0,2,2,FALSE,1
1076,0,40,0,12674,FALSE,1
399,679,20,64,26073,FALSE,1
394,3537,0,46,349,FALSE,1
4,96,0,3,0,FALSE,1
0,140,0,2,12,TRUE,1
1334,0,13,7,59023,FALSE,1
36,1,6,0,510,FALSE,1
8,1,1,0,29,FALSE,1
1451,1,44,0,15020,FALSE,1
1807,101,258,124,125403,FALSE,1
1,63,0,0,1,FALSE,1
82,49,10,0,16728,FALSE,1
2,20,0,66,127,FALSE,1
0,25,0,56,73,FALSE,1
78,1,14,0,4438,FALSE,1
403,6,16,1,12395,FALSE,1
7324,456,202,5109,3334,FALSE,1
68,0,15,1,25193,FALSE,1
108,1,20,0,19770,FALSE,1
120,0,22,0,5614,FALSE,1
0,330,0,21,29,FALSE,1
0,22,0,71,100,FALSE,1
15,19,0,0,19,FALSE,1
23,0,7,0,63,FALSE,1
127,180,6,76087,12702,TRUE,1
175986,14914,1829,1,18839,FALSE,1
731,1,28,0,2576,FALSE,1
182,0,6,0,433,FALSE,1
123,0,35,0,29410,FALSE,1
1287,1,116,0,62797,FALSE,1
110,1797,0,12,4,FALSE,1
9,0,6,0,1412,TRUE,1
102437,3,500,0,13953,FALSE,1
4,350,0,4,6,,1
1,44,0,66,78,FALSE,1
281,5,1,1,22739,FALSE,1
104669,5438,979,385,7897,FALSE,1
23472,2,653,120,59327,FALSE,1
43,1,13,4,26955,FALSE,1
11,74,0,0,1,FALSE,1
928,0,20,0,71773,FALSE,1
63,2,15,1,2672,FALSE,1
71,2,14,1,644,FALSE,1
131,2,27,0,4499,FALSE,1
171,4,13,1,8808,FALSE,1
6859,5458,279,73498,46537,FALSE,1
3730,21,5204,155,306026,FALSE,1
4,244,0,10,17,FALSE,1
277,4887,5,1,41,FALSE,1
31,23,4,2,170,FALSE,1
1078,0,23,0,2,FALSE,1
8,0,1,0,123,TRUE,1
14,3,7,0,13752,FALSE,1
9978,10829,9,681,862,TRUE,1
0,32,0,69,93,FALSE,1
204,1,34,0,7491,FALSE,1
20,9,2,0,2311,FALSE,1
109,153,0,25,24,TRUE,1
539,10,36,5,212479,FALSE,1
227,292,0,0,12,FALSE,1
105,4,4,0,1571,FALSE,1
1022,0,96,0,403392,FALSE,1
33,1526,0,1,1,FALSE,1
4,19,0,0,0,,1
1,342,0,41,43,FALSE,1
0,310,0,17,27,FALSE,1
1,420,0,88,80,FALSE,1
0,346,0,14,28,FALSE,1
23,0,10,0,376,FALSE,1
254,16,31,43,13695,FALSE,1
20,9,4,0,445,FALSE,1
516,0,27,0,4145,FALSE,1
5,464,0,78,88,FALSE,1
447990,487927,4233,4055,107503,FALSE,1
1,338,0,26,30,FALSE,1
255,1,28,0,12821,FALSE,1
16,1862,0,285,392,FALSE,1
268,99,56,0,5099,FALSE,1
742,38,27,3,367778,FALSE,1
61,31,14,0,627,FALSE,1
105,1,13,9,570,TRUE,1
26,35,7,9,9117,FALSE,1
13,1,2,0,1035,FALSE,1
7724,22,186,9,16682,FALSE,1
38413,2,438,2722,146227,FALSE,1
124,158,10,55,3597,FALSE,1
142,14,12,0,26,FALSE,1
434,0,41,0,3033,FALSE,1
9,462,0,84,72,FALSE,1
44,0,5,5,1220,FALSE,1
505,3673,0,745,595,FALSE,1
67078,0,940,0,12064,FALSE,1
19048,2,135,7,220592,FALSE,1
69508,70633,441,109,423314,TRUE,1
0,100,0,0,0,,1
30,0,11,0,1560,FALSE,1
1,116,0,0,1,FALSE,1
0,34,0,37,61,FALSE,1
261,1,46,1,4776,FALSE,1
1058,1,83,0,7678,FALSE,1
15,1,7,2,75,FALSE,1
14,0,7,2,3422,FALSE,1
2,106,0,0,1,,1
344,24,8,1,161,FALSE,1
78,221,0,261,1953,FALSE,1
21,19,3,0,1160,FALSE,1
12,33,0,47,65,FALSE,1
669,7,162,9396,21522,FALSE,1
0,34,0,0,0,,1
324,0,23,0,6664,FALSE,1
283,443,1,4021,2864,FALSE,1
95,3,0,0,2464,FALSE,1
571,15,19,1,1181,FALSE,1
20,1827,0,312,387,FALSE,1
3,523,0,87,113,FALSE,1
16,25,3,1,150,TRUE,1
782,0,14,0,276,FALSE,1
6,0,4,0,241,TRUE,1
187,1,36,1,10881,FALSE,1
659,806,19,1,9565,FALSE,1
9,89,0,0,4,FALSE,1
40,0,14,0,884,FALSE,1
